date, open, high, low, close, vol
20160519 132100,1.120550,1.120660,1.120530,1.120540,0
20160519 132200,1.120540,1.120640,1.120470,1.120510,0
20160519 132300,1.120500,1.120530,1.120470,1.120480,0
20160519 132400,1.120470,1.120790,1.120460,1.120740,0
20160519 132500,1.120750,1.120750,1.120510,1.120510,0
20160519 132600,1.120500,1.120580,1.120500,1.120550,0
20160519 132700,1.120550,1.120580,1.120440,1.120440,0
20160519 132800,1.120440,1.120480,1.120390,1.120480,0
20160519 132900,1.120470,1.120530,1.120370,1.120500,0
20160519 133000,1.120500,1.120570,1.120490,1.120550,0
20160519 133100,1.120550,1.120560,1.120350,1.120360,0
20160519 133200,1.120360,1.120530,1.120320,1.120330,0
20160519 133300,1.120350,1.120450,1.120250,1.120360,0
20160519 133400,1.120350,1.120530,1.120310,1.120480,0
20160519 133500,1.120470,1.120470,1.120360,1.120360,0
20160519 133600,1.120350,1.120450,1.120350,1.120450,0
20160519 133700,1.120450,1.120550,1.120430,1.120550,0
20160519 133800,1.120550,1.120620,1.120540,1.120580,0
20160519 133900,1.120590,1.120590,1.120540,1.120570,0
20160519 134000,1.120530,1.120570,1.120450,1.120480,0
20160519 134100,1.120480,1.120490,1.120440,1.120440,0
20160519 134200,1.120450,1.120610,1.120440,1.120540,0
20160519 134300,1.120530,1.120530,1.120440,1.120460,0
20160519 134400,1.120440,1.120480,1.120340,1.120410,0
20160519 134500,1.120420,1.120440,1.120270,1.120330,0
20160519 134600,1.120320,1.120340,1.120240,1.120240,0
20160519 134700,1.120250,1.120310,1.120230,1.120280,0
20160519 134800,1.120270,1.120310,1.120240,1.120260,0
20160519 134900,1.120260,1.120310,1.120200,1.120300,0
20160519 135000,1.120300,1.120410,1.120290,1.120310,0
20160519 135100,1.120320,1.120320,1.120130,1.120160,0
20160519 135200,1.120150,1.120180,1.120100,1.120160,0
20160519 135300,1.120160,1.120180,1.119980,1.120010,0
20160519 135400,1.120000,1.120030,1.119870,1.119900,0
20160519 135500,1.119900,1.119930,1.119840,1.119930,0
20160519 135600,1.119920,1.120050,1.119920,1.120030,0
20160519 135700,1.120040,1.120050,1.119990,1.120020,0
20160519 135800,1.120010,1.120040,1.120000,1.120040,0
20160519 135900,1.120040,1.120110,1.120010,1.120100,0
20160519 140000,1.120100,1.120180,1.120080,1.120130,0
20160519 140100,1.120190,1.120380,1.120190,1.120380,0
20160519 140200,1.120370,1.120380,1.120170,1.120300,0
20160519 140300,1.120320,1.120360,1.120250,1.120250,0
20160519 140400,1.120250,1.120260,1.120200,1.120260,0
20160519 140500,1.120280,1.120350,1.120240,1.120260,0
20160519 140600,1.120260,1.120330,1.120240,1.120320,0
20160519 140700,1.120310,1.120330,1.120260,1.120260,0
20160519 140800,1.120260,1.120260,1.120160,1.120170,0
20160519 140900,1.120160,1.120290,1.120080,1.120120,0
20160519 141000,1.120120,1.120150,1.120050,1.120140,0
20160519 141100,1.120140,1.120140,1.120090,1.120100,0
20160519 141200,1.120090,1.120210,1.120090,1.120140,0
20160519 141300,1.120140,1.120150,1.120140,1.120140,0
20160519 141400,1.120150,1.120310,1.120140,1.120280,0
20160519 141500,1.120280,1.120360,1.120190,1.120210,0
20160519 141600,1.120200,1.120250,1.120170,1.120220,0
20160519 141700,1.120230,1.120250,1.120140,1.120180,0
20160519 141800,1.120180,1.120240,1.120180,1.120230,0
20160519 141900,1.120220,1.120250,1.120180,1.120180,0
20160519 142000,1.120180,1.120200,1.120160,1.120200,0
20160519 142100,1.120190,1.120270,1.120160,1.120250,0
20160519 142200,1.120240,1.120240,1.120160,1.120170,0
20160519 142300,1.120160,1.120200,1.120150,1.120160,0
20160519 142400,1.120150,1.120170,1.120010,1.120040,0
20160519 142500,1.120030,1.120030,1.119910,1.119910,0
20160519 142600,1.119910,1.119920,1.119730,1.119780,0
20160519 142700,1.119780,1.119820,1.119770,1.119800,0
20160519 142800,1.119800,1.119870,1.119800,1.119820,0
20160519 142900,1.119830,1.119920,1.119820,1.119920,0
20160519 143000,1.119920,1.119930,1.119890,1.119890,0
20160519 143100,1.119890,1.119930,1.119850,1.119850,0
20160519 143200,1.119870,1.119950,1.119870,1.119930,0
20160519 143300,1.119930,1.119990,1.119930,1.119990,0
20160519 143400,1.120000,1.120000,1.119910,1.119930,0
20160519 143500,1.119930,1.119930,1.119880,1.119880,0
20160519 143600,1.119880,1.120000,1.119870,1.119980,0
20160519 143700,1.119980,1.120020,1.119980,1.120020,0
20160519 143800,1.120020,1.120030,1.120010,1.120010,0
20160519 143900,1.120020,1.120350,1.120000,1.120250,0
20160519 144000,1.120280,1.120450,1.120280,1.120430,0
20160519 144100,1.120430,1.120440,1.120360,1.120400,0
20160519 144200,1.120380,1.120490,1.120380,1.120430,0
20160519 144300,1.120430,1.120490,1.120380,1.120490,0
20160519 144400,1.120480,1.120480,1.120430,1.120470,0
20160519 144500,1.120470,1.120550,1.120470,1.120540,0
20160519 144600,1.120540,1.120640,1.120540,1.120610,0
20160519 144700,1.120610,1.120610,1.120590,1.120610,0
20160519 144800,1.120600,1.120600,1.120590,1.120590,0
20160519 144900,1.120590,1.120600,1.120570,1.120590,0
20160519 145000,1.120580,1.120580,1.120490,1.120490,0
20160519 145100,1.120480,1.120480,1.120440,1.120440,0
20160519 145200,1.120430,1.120440,1.120380,1.120380,0
20160519 145300,1.120380,1.120400,1.120300,1.120310,0
20160519 145400,1.120300,1.120320,1.120290,1.120300,0
20160519 145500,1.120300,1.120320,1.120260,1.120300,0
20160519 145600,1.120290,1.120350,1.120260,1.120280,0
20160519 145700,1.120270,1.120320,1.120230,1.120230,0
20160519 145800,1.120240,1.120240,1.120090,1.120090,0
20160519 145900,1.120080,1.120170,1.119910,1.120040,0
20160519 150000,1.120050,1.120080,1.119990,1.120070,0
20160519 150100,1.120080,1.120110,1.120000,1.120070,0
20160519 150200,1.120080,1.120290,1.120000,1.120260,0
20160519 150300,1.120260,1.120290,1.120130,1.120130,0
20160519 150400,1.120130,1.120130,1.119960,1.120030,0
20160519 150500,1.120040,1.120040,1.119970,1.119990,0
20160519 150600,1.119980,1.120000,1.119940,1.119990,0
20160519 150700,1.119980,1.119990,1.119920,1.119930,0
20160519 150800,1.119940,1.119970,1.119930,1.119950,0
20160519 150900,1.119950,1.120140,1.119950,1.120130,0
20160519 151000,1.120120,1.120170,1.120100,1.120110,0
20160519 151100,1.120120,1.120240,1.120110,1.120210,0
20160519 151200,1.120200,1.120240,1.120120,1.120140,0
20160519 151300,1.120140,1.120250,1.120110,1.120210,0
20160519 151400,1.120190,1.120190,1.120090,1.120100,0
20160519 151500,1.120100,1.120120,1.119990,1.120090,0
20160519 151600,1.120100,1.120250,1.120100,1.120250,0
20160519 151700,1.120260,1.120280,1.120170,1.120280,0
20160519 151800,1.120270,1.120270,1.120190,1.120190,0
20160519 151900,1.120190,1.120220,1.120160,1.120190,0
20160519 152000,1.120210,1.120210,1.120130,1.120140,0
20160519 152100,1.120130,1.120190,1.120120,1.120180,0
20160519 152200,1.120170,1.120170,1.120100,1.120120,0
20160519 152300,1.120110,1.120190,1.120050,1.120160,0
20160519 152400,1.120160,1.120280,1.120120,1.120240,0
20160519 152500,1.120250,1.120390,1.120220,1.120370,0
20160519 152600,1.120360,1.120380,1.120350,1.120370,0
20160519 152700,1.120370,1.120510,1.120370,1.120510,0
20160519 152800,1.120500,1.120570,1.120430,1.120440,0
20160519 152900,1.120440,1.120470,1.120340,1.120340,0
20160519 153000,1.120340,1.120340,1.120230,1.120230,0
20160519 153100,1.120230,1.120240,1.120210,1.120210,0
20160519 153200,1.120210,1.120230,1.120150,1.120230,0
20160519 153300,1.120240,1.120350,1.120160,1.120350,0
20160519 153400,1.120350,1.120560,1.120330,1.120540,0
20160519 153500,1.120540,1.120540,1.120380,1.120400,0
20160519 153600,1.120390,1.120410,1.120340,1.120370,0
20160519 153700,1.120370,1.120370,1.120200,1.120290,0
20160519 153800,1.120290,1.120300,1.120200,1.120220,0
20160519 153900,1.120220,1.120290,1.120220,1.120290,0
20160519 154000,1.120290,1.120390,1.120250,1.120250,0
20160519 154100,1.120260,1.120260,1.120140,1.120150,0
20160519 154200,1.120140,1.120200,1.120140,1.120190,0
20160519 154300,1.120210,1.120280,1.120130,1.120280,0
20160519 154400,1.120300,1.120500,1.120290,1.120390,0
20160519 154500,1.120380,1.120390,1.120280,1.120340,0
20160519 154600,1.120350,1.120430,1.120240,1.120260,0
20160519 154700,1.120270,1.120280,1.120210,1.120240,0
20160519 154800,1.120240,1.120260,1.120180,1.120220,0
20160519 154900,1.120220,1.120240,1.120180,1.120240,0
20160519 155000,1.120240,1.120240,1.119930,1.119980,0
20160519 155100,1.119970,1.120000,1.119810,1.119880,0
20160519 155200,1.119880,1.119900,1.119820,1.119840,0
20160519 155300,1.119850,1.119900,1.119770,1.119820,0
20160519 155400,1.119830,1.119930,1.119820,1.119910,0
20160519 155500,1.119900,1.119940,1.119820,1.119900,0
20160519 155600,1.119920,1.119970,1.119900,1.119930,0
20160519 155700,1.119920,1.119950,1.119810,1.119890,0
20160519 155800,1.119900,1.119900,1.119630,1.119800,0
20160519 155900,1.119790,1.119790,1.119550,1.119560,0
20160519 160000,1.119550,1.119750,1.119550,1.119750,0
20160519 160100,1.119760,1.119810,1.119600,1.119640,0
20160519 160200,1.119630,1.119710,1.119630,1.119710,0
20160519 160300,1.119710,1.119770,1.119700,1.119750,0
20160519 160400,1.119730,1.119790,1.119730,1.119770,0
20160519 160500,1.119770,1.119820,1.119740,1.119820,0
20160519 160600,1.119810,1.119820,1.119810,1.119810,0
20160519 160700,1.119780,1.119780,1.119760,1.119760,0
20160519 160800,1.119760,1.119790,1.119760,1.119770,0
20160519 160900,1.119770,1.119860,1.119770,1.119810,0
20160519 161000,1.119810,1.119890,1.119770,1.119880,0
20160519 161100,1.119880,1.119950,1.119840,1.119950,0
20160519 161200,1.119950,1.119970,1.119900,1.119970,0
20160519 161300,1.119930,1.119970,1.119890,1.119920,0
20160519 161400,1.119860,1.119870,1.119860,1.119870,0
20160519 161500,1.119850,1.119870,1.119850,1.119850,0
20160519 161600,1.119900,1.120010,1.119900,1.119990,0
20160519 161700,1.119980,1.119980,1.119970,1.119970,0
20160519 161800,1.119930,1.119930,1.119860,1.119870,0
20160519 161900,1.119870,1.119970,1.119870,1.119970,0
20160519 162000,1.119970,1.120010,1.119960,1.119990,0
20160519 162100,1.120000,1.120000,1.119750,1.119750,0
20160519 162200,1.119760,1.120070,1.119760,1.120070,0
20160519 162300,1.120070,1.120080,1.119950,1.119960,0
20160519 162400,1.120000,1.120030,1.119990,1.120030,0
20160519 162500,1.120040,1.120120,1.120040,1.120110,0
20160519 162600,1.120110,1.120110,1.120030,1.120050,0
20160519 162700,1.120070,1.120080,1.120020,1.120060,0
20160519 162800,1.120070,1.120090,1.120020,1.120020,0
20160519 162900,1.120010,1.120110,1.119980,1.120090,0
20160519 163000,1.120110,1.120180,1.120050,1.120160,0
20160519 163100,1.120170,1.120260,1.120150,1.120260,0
20160519 163200,1.120260,1.120260,1.120180,1.120200,0
20160519 163300,1.120200,1.120200,1.120130,1.120150,0
20160519 163400,1.120140,1.120140,1.119980,1.119990,0
20160519 163500,1.119980,1.120000,1.119970,1.120000,0
20160519 163600,1.120030,1.120030,1.120010,1.120020,0
20160519 163700,1.120010,1.120190,1.120010,1.120080,0
20160519 163800,1.120090,1.120170,1.120090,1.120170,0
20160519 163900,1.120180,1.120190,1.120150,1.120180,0
20160519 164000,1.120170,1.120220,1.120170,1.120200,0
20160519 164100,1.120200,1.120200,1.120170,1.120200,0
20160519 164200,1.120190,1.120190,1.120180,1.120190,0
20160519 164300,1.120180,1.120230,1.120170,1.120170,0
20160519 164400,1.120180,1.120240,1.120170,1.120240,0
20160519 164500,1.120240,1.120340,1.120240,1.120300,0
20160519 164600,1.120290,1.120300,1.120130,1.120130,0
20160519 164700,1.120130,1.120170,1.120130,1.120150,0
20160519 164800,1.120160,1.120180,1.120140,1.120150,0
20160519 164900,1.120240,1.120270,1.120240,1.120250,0
20160519 165000,1.120260,1.120260,1.120220,1.120230,0
20160519 165100,1.120240,1.120240,1.120130,1.120150,0
20160519 165200,1.120140,1.120160,1.120090,1.120100,0
20160519 165300,1.120120,1.120230,1.120120,1.120190,0
20160519 165400,1.120190,1.120190,1.120160,1.120160,0
20160519 165500,1.120170,1.120220,1.120160,1.120220,0
20160519 165600,1.120210,1.120230,1.120210,1.120210,0
20160519 165700,1.120200,1.120200,1.120190,1.120200,0
20160519 165800,1.120190,1.120280,1.120190,1.120230,0
20160519 165900,1.120210,1.120250,1.120200,1.120240,0
20160519 170000,1.120220,1.120220,1.120010,1.120210,0
20160519 170100,1.120230,1.120250,1.120220,1.120220,0
20160519 170200,1.120240,1.120240,1.120150,1.120150,0
20160519 170300,1.120170,1.120220,1.120160,1.120210,0
20160519 170400,1.120200,1.120200,1.120150,1.120150,0
20160519 170500,1.120140,1.120220,1.120010,1.120120,0
20160519 170600,1.120160,1.120160,1.119970,1.120010,0
20160519 170700,1.119990,1.120100,1.119990,1.120060,0
20160519 170800,1.120060,1.120080,1.120020,1.120060,0
20160519 170900,1.120020,1.120040,1.120020,1.120040,0
20160519 171000,1.120050,1.120080,1.120050,1.120080,0
20160519 171100,1.120100,1.120100,1.120100,1.120100,0
20160519 171300,1.119980,1.119980,1.119980,1.119980,0
20160519 171400,1.120110,1.120110,1.120080,1.120080,0
20160519 171500,1.120080,1.120140,1.120080,1.120140,0
20160519 171600,1.120190,1.120220,1.120120,1.120150,0
20160519 171700,1.120150,1.120160,1.120150,1.120160,0
20160519 171800,1.120190,1.120190,1.120190,1.120190,0
20160519 171900,1.120200,1.120200,1.120200,1.120200,0
20160519 172000,1.120180,1.120180,1.120180,1.120180,0
20160519 172100,1.120190,1.120190,1.120190,1.120190,0
20160519 172200,1.120250,1.120250,1.120250,1.120250,0
20160519 172300,1.120240,1.120240,1.120240,1.120240,0
20160519 172400,1.120240,1.120240,1.120240,1.120240,0
20160519 172500,1.120230,1.120260,1.120220,1.120240,0
20160519 172700,1.120260,1.120260,1.120260,1.120260,0
20160519 172800,1.120240,1.120240,1.120240,1.120240,0
20160519 172900,1.120240,1.120260,1.120240,1.120260,0
20160519 173000,1.120240,1.120310,1.120230,1.120290,0
20160519 173100,1.120290,1.120300,1.120240,1.120240,0
20160519 173200,1.120250,1.120270,1.120170,1.120270,0
20160519 173300,1.120260,1.120280,1.120170,1.120210,0
20160519 173400,1.120220,1.120280,1.120160,1.120170,0
20160519 173500,1.120160,1.120180,1.120140,1.120140,0
20160519 173600,1.120150,1.120180,1.120140,1.120160,0
20160519 173700,1.120140,1.120180,1.120140,1.120160,0
20160519 173800,1.120140,1.120200,1.120130,1.120180,0
20160519 173900,1.120160,1.120170,1.120120,1.120150,0
20160519 174000,1.120150,1.120180,1.120130,1.120140,0
20160519 174100,1.120150,1.120180,1.120140,1.120150,0
20160519 174200,1.120150,1.120160,1.120150,1.120150,0
20160519 174300,1.120250,1.120250,1.120230,1.120240,0
20160519 174400,1.120230,1.120250,1.120220,1.120220,0
20160519 174500,1.120190,1.120210,1.120180,1.120210,0
20160519 174600,1.120160,1.120180,1.120130,1.120150,0
20160519 174700,1.120150,1.120160,1.120130,1.120130,0
20160519 174800,1.120140,1.120140,1.120130,1.120130,0
20160519 174900,1.120080,1.120130,1.120080,1.120120,0
20160519 175000,1.120100,1.120110,1.120100,1.120110,0
20160519 175100,1.120100,1.120140,1.120100,1.120130,0
20160519 175200,1.120130,1.120130,1.120120,1.120120,0
20160519 175300,1.120070,1.120080,1.120050,1.120080,0
20160519 175400,1.120060,1.120060,1.120060,1.120060,0
20160519 175500,1.120050,1.120050,1.120000,1.120050,0
20160519 175700,1.120070,1.120070,1.120070,1.120070,0
20160519 175800,1.120020,1.120060,1.120020,1.120060,0
20160519 175900,1.120070,1.120070,1.119660,1.119680,0
20160519 180000,1.119700,1.120030,1.119700,1.119970,0
20160519 180100,1.119990,1.120080,1.119930,1.120060,0
20160519 180200,1.120050,1.120090,1.120000,1.120060,0
20160519 180300,1.120060,1.120080,1.120020,1.120020,0
